 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 0163069061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 28/8/2025
 Test Time:, 2:45:57 PM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, A60 (DIB - SIGNAL), , , 4.550 nA, #105 Measured  4.550 nAmps >  2.000 nA high limit
 2, CUSTOM, A69 (DIB - SIGNAL), , , 3.002 nA, #105 Measured  3.002 nAmps >  2.000 nA high limit
 3, CUSTOM, C69 (DIB - SIGNAL), , , 3.927 nA, #105 Measured  3.927 nAmps >  2.000 nA high limit
 4, CUSTOM, C71 (DIB - SIGNAL), , , 5.462 nA, #105 Measured  5.462 nAmps >  2.000 nA high limit
 5, CUSTOM, C82 (DIB - SIGNAL), , , 2.005 nA, #105 Measured  2.005 nAmps >  2.000 nA high limit
 6, CUSTOM, C84 (DIB - SIGNAL), , , 2.025 nA, #105 Measured  2.025 nAmps >  2.000 nA high limit
 7, CUSTOM, G58 (DIB - SIGNAL), , , 2.205 nA, #105 Measured  2.205 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 99 mOhm, 500 mOhm, Measured 99 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 103 mOhm, 500 mOhm, Measured 103 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 102 mOhm, 500 mOhm, Measured 102 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 102 mOhm, 500 mOhm, Measured 102 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 103 mOhm, 500 mOhm, Measured 103 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 118 mOhm, 500 mOhm, Measured 118 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 151 mOhm, 500 mOhm, Measured 151 mOhm 
 8, CUSTOM, J100-29, J100-31, 373.133 mOhms, ," Measured 373.133 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 98 pA, ," Measured 98.466 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 24 pA, ," Measured 23.863 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 79 pA, ," Measured 79.112 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 60 pA, ," Measured 59.598 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 68 pA, ," Measured 67.555 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 31 pA, ," Measured 30.575 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
