 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 0163AE7061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 28/8/2025
 Test Time:, 5:09:13 PM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, E84 (DIB - SIGNAL), , , 8.974 nA, #105 Measured  8.974 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 92 mOhm, 500 mOhm, Measured 92 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 93 mOhm, 500 mOhm, Measured 93 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 98 mOhm, 500 mOhm, Measured 98 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 95 mOhm, 500 mOhm, Measured 95 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 95 mOhm, 500 mOhm, Measured 95 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 106 mOhm, 500 mOhm, Measured 106 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 121 mOhm, 500 mOhm, Measured 121 mOhm 
 8, CUSTOM, J100-29, J100-31, 376.132 mOhms, ," Measured 376.132 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 116 pA, ," Measured 116.374 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 88 pA, ," Measured 87.708 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 35 pA, ," Measured 34.769 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 52 pA, ," Measured 51.681 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 72 pA, ," Measured 72.299 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 90 pA, ," Measured 90.295 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 63 pA, ," Measured 62.805 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 72 pA, ," Measured 71.593 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 17, CUSTOM, A19 (DIB - SIGNAL), , 52 pA, ," Measured 51.597 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 31 pA, ," Measured 30.756 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 64 pA, ," Measured 64.210 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 60 pA, ," Measured 60.288 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 54 pA, ," Measured 54.478 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 32 pA, ," Measured 32.447 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 59 pA, ," Measured 58.847 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 24, CUSTOM, A39 (DIB - SIGNAL), , 68 pA, ," Measured 67.734 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 25, CUSTOM, A41 (DIB - SIGNAL), , 58 pA, ," Measured 58.169 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 26, CUSTOM, A47 (DIB - SIGNAL), , 57 pA, ," Measured 56.631 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 27, CUSTOM, A49 (DIB - SIGNAL), , 72 pA, ," Measured 71.572 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 28, CUSTOM, A51 (DIB - SIGNAL), , 132 pA, ," Measured 131.762 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 29, CUSTOM, A53 (DIB - SIGNAL), , 52 pA, ," Measured 52.492 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 30, CUSTOM, A58 (DIB - SIGNAL), , 67 pA, ," Measured 66.601 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 31, CUSTOM, A60 (DIB - SIGNAL), , 60 pA, ," Measured 59.854 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 32, CUSTOM, A62 (DIB - SIGNAL), , 60 pA, ," Measured 60.295 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
