 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 016459E061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 28/8/2025
 Test Time:, 2:53:38 PM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, A41 (DIB - SIGNAL), , , 3.804 nA, #105 Measured  3.804 nAmps >  2.000 nA high limit
 2, CUSTOM, C41 (DIB - SIGNAL), , , 3.299 nA, #105 Measured  3.299 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 119 mOhm, 500 mOhm, Measured 119 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 160 mOhm, 500 mOhm, Measured 160 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 113 mOhm, 500 mOhm, Measured 113 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 116 mOhm, 500 mOhm, Measured 116 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 108 mOhm, 500 mOhm, Measured 108 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 156 mOhm, 500 mOhm, Measured 156 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 143 mOhm, 500 mOhm, Measured 143 mOhm 
 8, CUSTOM, J100-29, J100-31, 373.632 mOhms, ," Measured 373.632 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 123 pA, ," Measured 123.068 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 12 pA, ," Measured 11.984 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 55 pA, ," Measured 55.053 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 20 pA, ," Measured 20.171 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 52 pA, ," Measured 52.172 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 18 pA, ," Measured 18.381 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 51 pA, ," Measured 51.417 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 28 pA, ," Measured 27.729 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 17, CUSTOM, A19 (DIB - SIGNAL), , 45 pA, ," Measured 44.565 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 17 pA, ," Measured 17.130 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 70 pA, ," Measured 70.309 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 52 pA, ," Measured 51.620 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 134 pA, ," Measured 133.808 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 468 pA, ," Measured 467.872 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 591 pA, ," Measured 591.136 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 24, CUSTOM, A39 (DIB - SIGNAL), , 299 pA, ," Measured 298.805 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 25, CUSTOM, A41 (DIB - SIGNAL), , 3.804 nA, ,  Measured  3.804 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 26, CUSTOM, A47 (DIB - SIGNAL), , 102 pA, ," Measured 102.352 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 27, CUSTOM, A49 (DIB - SIGNAL), , 57 pA, ," Measured 57.332 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 28, CUSTOM, A51 (DIB - SIGNAL), , 118 pA, ," Measured 118.300 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 29, CUSTOM, A53 (DIB - SIGNAL), , 37 pA, ," Measured 36.623 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 30, CUSTOM, A58 (DIB - SIGNAL), , 82 pA, ," Measured 81.915 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 31, CUSTOM, A60 (DIB - SIGNAL), , 47 pA, ," Measured 46.565 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 32, CUSTOM, A62 (DIB - SIGNAL), , 72 pA, ," Measured 72.287 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 33, CUSTOM, A64 (DIB - SIGNAL), , 38 pA, ," Measured 37.797 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 34, CUSTOM, A69 (DIB - SIGNAL), , 74 pA, ," Measured 73.937 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
