 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 0166CB4061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 28/8/2025
 Test Time:, 4:20:03 PM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, A17 (DIB - SIGNAL), , , 3.733 nA, #105 Measured  3.733 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 98 mOhm, 500 mOhm, Measured 98 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 93 mOhm, 500 mOhm, Measured 93 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 92 mOhm, 500 mOhm, Measured 92 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 98 mOhm, 500 mOhm, Measured 98 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 96 mOhm, 500 mOhm, Measured 96 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 204 mOhm, 500 mOhm, Measured 204 mOhm 
 8, CUSTOM, J100-29, J100-31, 375.441 mOhms, ," Measured 375.441 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 290 pA, ," Measured 290.181 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 261 pA, ," Measured 261.013 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 335 pA, ," Measured 334.605 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 1.202 nA, ," Measured  1.202 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 821 pA, ," Measured 821.470 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 119 pA, ," Measured 119.267 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 533 pA, ," Measured 533.275 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 3.733 nA, ,  Measured  3.733 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 17, CUSTOM, A19 (DIB - SIGNAL), , 0 pA, ," Measured 335.600 fAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 0 pA, ," Measured 0 Amps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 66 pA, ," Measured 66.356 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 62 pA, ," Measured 61.875 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 72 pA, ," Measured 71.963 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 84 pA, ," Measured 84.149 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 47 pA, ," Measured 46.563 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 24, CUSTOM, A39 (DIB - SIGNAL), , 103 pA, ," Measured 103.194 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 25, CUSTOM, A41 (DIB - SIGNAL), , 92 pA, ," Measured 92.182 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 26, CUSTOM, A47 (DIB - SIGNAL), , 64 pA, ," Measured 64.475 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 27, CUSTOM, A49 (DIB - SIGNAL), , 76 pA, ," Measured 75.627 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 28, CUSTOM, A51 (DIB - SIGNAL), , 72 pA, ," Measured 71.586 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 29, CUSTOM, A53 (DIB - SIGNAL), , 89 pA, ," Measured 89.302 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
