 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 0179A83061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 4:48:01 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, A69 (DIB - SIGNAL), , , 2.304 nA, #105 Measured  2.304 nAmps >  2.000 nA high limit
 2, CUSTOM, A71 (DIB - SIGNAL), , , 2.707 nA, #105 Measured  2.707 nAmps >  2.000 nA high limit
 3, CUSTOM, A73 (DIB - SIGNAL), , , 2.426 nA, #105 Measured  2.426 nAmps >  2.000 nA high limit
 4, CUSTOM, A75 (DIB - SIGNAL), , , 2.093 nA, #105 Measured  2.093 nAmps >  2.000 nA high limit
 5, CUSTOM, C71 (DIB - SIGNAL), , , 2.480 nA, #105 Measured  2.480 nAmps >  2.000 nA high limit
 6, CUSTOM, C73 (DIB - SIGNAL), , , 2.094 nA, #105 Measured  2.094 nAmps >  2.000 nA high limit
 7, CUSTOM, C75 (DIB - SIGNAL), , , 2.490 nA, #105 Measured  2.490 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 96 mOhm, 500 mOhm, Measured 96 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 107 mOhm, 500 mOhm, Measured 107 mOhm 
 8, CUSTOM, J100-29, J100-31, 375.466 mOhms, ," Measured 375.466 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 130 pA, ," Measured 130.495 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 174 pA, ," Measured 174.045 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 105 pA, ," Measured 104.550 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 66 pA, ," Measured 66.174 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 94 pA, ," Measured 94.098 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 71 pA, ," Measured 71.103 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 71 pA, ," Measured 71.187 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 86 pA, ," Measured 85.561 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 17, CUSTOM, A19 (DIB - SIGNAL), , 88 pA, ," Measured 87.952 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 71 pA, ," Measured 71.236 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 91 pA, ," Measured 90.616 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 77 pA, ," Measured 77.430 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 76 pA, ," Measured 75.501 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 57 pA, ," Measured 56.547 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 99 pA, ," Measured 99.139 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 24, CUSTOM, A39 (DIB - SIGNAL), , 89 pA, ," Measured 88.910 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 25, CUSTOM, A41 (DIB - SIGNAL), , 64 pA, ," Measured 64.181 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 26, CUSTOM, A47 (DIB - SIGNAL), , 63 pA, ," Measured 62.804 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 27, CUSTOM, A49 (DIB - SIGNAL), , 81 pA, ," Measured 81.332 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 28, CUSTOM, A51 (DIB - SIGNAL), , 70 pA, ," Measured 69.677 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 29, CUSTOM, A53 (DIB - SIGNAL), , 67 pA, ," Measured 66.712 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 30, CUSTOM, A58 (DIB - SIGNAL), , 89 pA, ," Measured 88.770 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 31, CUSTOM, A60 (DIB - SIGNAL), , 181 pA, ," Measured 180.729 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 32, CUSTOM, A62 (DIB - SIGNAL), , 762 pA, ," Measured 761.572 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 33, CUSTOM, A64 (DIB - SIGNAL), , 1.252 nA, ," Measured  1.252 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 34, CUSTOM, A69 (DIB - SIGNAL), , 2.304 nA, ,  Measured  2.304 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 35, CUSTOM, A71 (DIB - SIGNAL), , 2.707 nA, ,  Measured  2.707 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 36, CUSTOM, A73 (DIB - SIGNAL), , 2.426 nA, ,  Measured  2.426 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 37, CUSTOM, A75 (DIB - SIGNAL), , 2.093 nA, ,  Measured  2.093 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 38, CUSTOM, A80 (DIB - SIGNAL), , 1.326 nA, ," Measured  1.326 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 39, CUSTOM, A82 (DIB - SIGNAL), , 713 pA, ," Measured 712.674 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 40, CUSTOM, A84 (DIB - SIGNAL), , 615 pA, ," Measured 614.716 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 41, CUSTOM, A86 (DIB - SIGNAL), , 215 pA, ," Measured 215.246 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 42, CUSTOM, C2 (DIB - SIGNAL), , 103 pA, ," Measured 103.068 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 43, CUSTOM, C4 (DIB - SIGNAL), , 82 pA, ," Measured 82.366 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 44, CUSTOM, C6 (DIB - SIGNAL), , 44 pA, ," Measured 43.739 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 45, CUSTOM, C8 (DIB - SIGNAL), , 82 pA, ," Measured 81.639 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 46, CUSTOM, C13 (DIB - SIGNAL), , 65 pA, ," Measured 65.307 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 47, CUSTOM, C15 (DIB - SIGNAL), , 72 pA, ," Measured 72.026 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 48, CUSTOM, C17 (DIB - SIGNAL), , 93 pA, ," Measured 93.490 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 49, CUSTOM, C19 (DIB - SIGNAL), , 100 pA, ," Measured 100.034 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 50, CUSTOM, C24 (DIB - SIGNAL), , 78 pA, ," Measured 77.927 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 51, CUSTOM, C26 (DIB - SIGNAL), , 98 pA, ," Measured 97.901 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 52, CUSTOM, C28 (DIB - SIGNAL), , 73 pA, ," Measured 73.131 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 53, CUSTOM, C30 (DIB - SIGNAL), , 102 pA, ," Measured 102.404 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 54, CUSTOM, C35 (DIB - SIGNAL), , 103 pA, ," Measured 102.886 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 55, CUSTOM, C37 (DIB - SIGNAL), , 89 pA, ," Measured 88.707 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
