 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 0179A9F061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 5:25:15 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, A8 (DIB - SIGNAL), , , 3.590 nA, #105 Measured  3.590 nAmps >  2.000 nA high limit
 2, CUSTOM, A13 (DIB - SIGNAL), , , 3.272 nA, #105 Measured  3.272 nAmps >  2.000 nA high limit
 3, CUSTOM, A15 (DIB - SIGNAL), , , 2.309 nA, #105 Measured  2.309 nAmps >  2.000 nA high limit
 4, CUSTOM, A17 (DIB - SIGNAL), , , 2.852 nA, #105 Measured  2.852 nAmps >  2.000 nA high limit
 5, CUSTOM, C8 (DIB - SIGNAL), , , 3.221 nA, #105 Measured  3.221 nAmps >  2.000 nA high limit
 6, CUSTOM, C13 (DIB - SIGNAL), , , 2.820 nA, #105 Measured  2.820 nAmps >  2.000 nA high limit
 7, CUSTOM, C15 (DIB - SIGNAL), , , 2.494 nA, #105 Measured  2.494 nAmps >  2.000 nA high limit
 8, CUSTOM, C17 (DIB - SIGNAL), , , 2.490 nA, #105 Measured  2.490 nAmps >  2.000 nA high limit
 9, CUSTOM, E8 (DIB - SIGNAL), , , 2.020 nA, #105 Measured  2.020 nAmps >  2.000 nA high limit
 10, CUSTOM, E15 (DIB - SIGNAL), , , 3.833 nA, #105 Measured  3.833 nAmps >  2.000 nA high limit
 11, CUSTOM, E17 (DIB - SIGNAL), , , 3.867 nA, #105 Measured  3.867 nAmps >  2.000 nA high limit
 12, CUSTOM, E19 (DIB - SIGNAL), , , 4.187 nA, #105 Measured  4.187 nAmps >  2.000 nA high limit
 13, CUSTOM, E24 (DIB - SIGNAL), , , 9.670 nA, #105 Measured  9.670 nAmps >  2.000 nA high limit
 14, CUSTOM, E26 (DIB - SIGNAL), , , 3.625 nA, #105 Measured  3.625 nAmps >  2.000 nA high limit
 15, CUSTOM, G6 (DIB - SIGNAL), , , 4.206 nA, #105 Measured  4.206 nAmps >  2.000 nA high limit
 16, CUSTOM, G8 (DIB - SIGNAL), , , 5.541 nA, #105 Measured  5.541 nAmps >  2.000 nA high limit
 17, CUSTOM, G13 (DIB - SIGNAL), , , 3.536 nA, #105 Measured  3.536 nAmps >  2.000 nA high limit
 18, CUSTOM, G15 (DIB - SIGNAL), , , 7.228 nA, #105 Measured  7.228 nAmps >  2.000 nA high limit
 19, CUSTOM, G17 (DIB - SIGNAL), , , 3.159 nA, #105 Measured  3.159 nAmps >  2.000 nA high limit
 20, CUSTOM, G19 (DIB - SIGNAL), , , 10.090 nA, #105 Measured 10.090 nAmps >  2.000 nA high limit
 21, CUSTOM, G24 (DIB - SIGNAL), , , 8.779 nA, #105 Measured  8.779 nAmps >  2.000 nA high limit
 22, CUSTOM, G26 (DIB - SIGNAL), , , 14.247 nA, #105 Measured 14.247 nAmps >  2.000 nA high limit
 23, CUSTOM, G28 (DIB - SIGNAL), , , 10.042 nA, #105 Measured 10.042 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 92 mOhm, 500 mOhm, Measured 92 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 124 mOhm, 500 mOhm, Measured 124 mOhm 
 8, CUSTOM, J100-29, J100-31, 374.867 mOhms, ," Measured 374.867 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 441 pA, ," Measured 440.818 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 373 pA, ," Measured 372.651 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 1.329 nA, ," Measured  1.329 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 205 pA, ," Measured 205.353 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 3.590 nA, ,  Measured  3.590 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 14, CUSTOM, A13 (DIB - SIGNAL), , 3.272 nA, ,  Measured  3.272 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 15, CUSTOM, A15 (DIB - SIGNAL), , 2.309 nA, ,  Measured  2.309 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 16, CUSTOM, A17 (DIB - SIGNAL), , 2.852 nA, ,  Measured  2.852 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 17, CUSTOM, A19 (DIB - SIGNAL), , 1.521 nA, ," Measured  1.521 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 1.588 nA, ," Measured  1.588 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 1.100 nA, ," Measured  1.100 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 580 pA, ," Measured 580.248 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 836 pA, ," Measured 836.352 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 1.944 nA, ," Measured  1.944 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 621 pA, ," Measured 620.861 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 24, CUSTOM, A39 (DIB - SIGNAL), , 167 pA, ," Measured 166.781 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 25, CUSTOM, A41 (DIB - SIGNAL), , 265 pA, ," Measured 264.689 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 26, CUSTOM, A47 (DIB - SIGNAL), , 209 pA, ," Measured 208.785 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 27, CUSTOM, A49 (DIB - SIGNAL), , 146 pA, ," Measured 145.849 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
