 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 0179AC3061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 4:53:50 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, A60 (DIB - SIGNAL), , , 7.436 nA, #105 Measured  7.436 nAmps >  2.000 nA high limit
 2, CUSTOM, A80 (DIB - SIGNAL), , , 2.979 nA, #105 Measured  2.979 nAmps >  2.000 nA high limit
 3, CUSTOM, C62 (DIB - SIGNAL), , , 7.376 nA, #105 Measured  7.376 nAmps >  2.000 nA high limit
 4, CUSTOM, C73 (DIB - SIGNAL), , , 3.594 nA, #105 Measured  3.594 nAmps >  2.000 nA high limit
 5, CUSTOM, C75 (DIB - SIGNAL), , , 5.013 nA, #105 Measured  5.013 nAmps >  2.000 nA high limit
 6, CUSTOM, C80 (DIB - SIGNAL), , , 5.818 nA, #105 Measured  5.818 nAmps >  2.000 nA high limit
 7, CUSTOM, E17 (DIB - SIGNAL), , , 2.358 nA, #105 Measured  2.358 nAmps >  2.000 nA high limit
 8, CUSTOM, G19 (DIB - SIGNAL), , , 11.312 nA, #105 Measured 11.312 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 96 mOhm, 500 mOhm, Measured 96 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 96 mOhm, 500 mOhm, Measured 96 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 103 mOhm, 500 mOhm, Measured 103 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 103 mOhm, 500 mOhm, Measured 103 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 202 mOhm, 500 mOhm, Measured 202 mOhm 
 8, CUSTOM, J100-29, J100-31, 375.123 mOhms, ," Measured 375.123 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 254 pA, ," Measured 254.111 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 287 pA, ," Measured 287.335 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 494 pA, ," Measured 493.646 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 266 pA, ," Measured 265.745 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 272 pA, ," Measured 271.667 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 401 pA, ," Measured 401.429 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 261 pA, ," Measured 261.089 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 219 pA, ," Measured 218.756 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 17, CUSTOM, A19 (DIB - SIGNAL), , 344 pA, ," Measured 343.630 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 237 pA, ," Measured 236.689 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 148 pA, ," Measured 147.771 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 91 pA, ," Measured 90.637 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 336 pA, ," Measured 336.499 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 430 pA, ," Measured 429.765 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 93 pA, ," Measured 92.504 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 24, CUSTOM, A39 (DIB - SIGNAL), , 141 pA, ," Measured 140.864 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 25, CUSTOM, A41 (DIB - SIGNAL), , 108 pA, ," Measured 107.766 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
