 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 017AB4A061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 2:49:16 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, E15 (DIB - SIGNAL), , , 2.375 nA, #105 Measured  2.375 nAmps >  2.000 nA high limit
 2, CUSTOM, E17 (DIB - SIGNAL), , , 2.880 nA, #105 Measured  2.880 nAmps >  2.000 nA high limit
 3, CUSTOM, E19 (DIB - SIGNAL), , , 2.114 nA, #105 Measured  2.114 nAmps >  2.000 nA high limit
 4, CUSTOM, G15 (DIB - SIGNAL), , , 2.087 nA, #105 Measured  2.087 nAmps >  2.000 nA high limit
 5, CUSTOM, G17 (DIB - SIGNAL), , , 2.515 nA, #105 Measured  2.515 nAmps >  2.000 nA high limit
 6, CUSTOM, G19 (DIB - SIGNAL), , , 2.278 nA, #105 Measured  2.278 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 97 mOhm, 500 mOhm, Measured 97 mOhm 
