 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 017AB72061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 3:28:43 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, E2 (DIB - SIGNAL), , , 7.623 nA, #105 Measured  7.623 nAmps >  2.000 nA high limit
 2, CUSTOM, E4 (DIB - SIGNAL), , , 61.414 nA, #105 Measured 61.414 nAmps >  2.000 nA high limit
 3, CUSTOM, E6 (DIB - SIGNAL), , , 18.480 nA, #105 Measured 18.480 nAmps >  2.000 nA high limit
 4, CUSTOM, E8 (DIB - SIGNAL), , , 9.654 nA, #105 Measured  9.654 nAmps >  2.000 nA high limit
 5, CUSTOM, E13 (DIB - SIGNAL), , , 15.525 nA, #105 Measured 15.525 nAmps >  2.000 nA high limit
 6, CUSTOM, E15 (DIB - SIGNAL), , , 9.635 nA, #105 Measured  9.635 nAmps >  2.000 nA high limit
 7, CUSTOM, E17 (DIB - SIGNAL), , , 6.224 nA, #105 Measured  6.224 nAmps >  2.000 nA high limit
 8, CUSTOM, E19 (DIB - SIGNAL), , , 4.009 nA, #105 Measured  4.009 nAmps >  2.000 nA high limit
 9, CUSTOM, G2 (DIB - SIGNAL), , , 4.660 nA, #105 Measured  4.660 nAmps >  2.000 nA high limit
 10, CUSTOM, G4 (DIB - SIGNAL), , , 32.268 nA, #105 Measured 32.268 nAmps >  2.000 nA high limit
 11, CUSTOM, G6 (DIB - SIGNAL), , , 48.300 nA, #105 Measured 48.300 nAmps >  2.000 nA high limit
 12, CUSTOM, G8 (DIB - SIGNAL), , , 13.142 nA, #105 Measured 13.142 nAmps >  2.000 nA high limit
 13, CUSTOM, G13 (DIB - SIGNAL), , , 12.318 nA, #105 Measured 12.318 nAmps >  2.000 nA high limit
 14, CUSTOM, G15 (DIB - SIGNAL), , , 14.502 nA, #105 Measured 14.502 nAmps >  2.000 nA high limit
 15, CUSTOM, G17 (DIB - SIGNAL), , , 5.187 nA, #105 Measured  5.187 nAmps >  2.000 nA high limit
