 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 017AB80061
 Final Test Result:, Passed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 3:34:18 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 94 mOhm, 500 mOhm, Measured 94 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 100 mOhm, 500 mOhm, Measured 100 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 105 mOhm, 500 mOhm, Measured 105 mOhm 
 8, CUSTOM, J100-29, J100-31, 375.046 mOhms, ," Measured 375.046 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 104 pA, ," Measured 104.439 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 77 pA, ," Measured 77.417 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 77 pA, ," Measured 76.886 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 38 pA, ," Measured 37.635 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 70 pA, ," Measured 69.684 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 47 pA, ," Measured 47.284 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 55 pA, ," Measured 55.457 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 59 pA, ," Measured 58.896 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 17, CUSTOM, A19 (DIB - SIGNAL), , 60 pA, ," Measured 59.840 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 40 pA, ," Measured 40.495 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 137 pA, ," Measured 137.418 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 101 pA, ," Measured 100.929 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 249 pA, ," Measured 248.897 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 208 pA, ," Measured 208.437 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 129 pA, ," Measured 129.462 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
