 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 017ABD3061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 3:02:02 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, E17 (DIB - SIGNAL), , , 4.432 nA, #105 Measured  4.432 nAmps >  2.000 nA high limit
 2, CUSTOM, G19 (DIB - SIGNAL), , , 4.415 nA, #105 Measured  4.415 nAmps >  2.000 nA high limit
 3, CUSTOM, G24 (DIB - SIGNAL), , , 2.097 nA, #105 Measured  2.097 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 94 mOhm, 500 mOhm, Measured 94 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 100 mOhm, 500 mOhm, Measured 100 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 114 mOhm, 500 mOhm, Measured 114 mOhm 
 8, CUSTOM, J100-29, J100-31, 373.707 mOhms, ," Measured 373.707 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 220 pA, ," Measured 219.625 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 171 pA, ," Measured 171.216 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 210 pA, ," Measured 210.208 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 134 pA, ," Measured 134.300 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 269 pA, ," Measured 268.930 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 169 pA, ," Measured 168.517 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 115 pA, ," Measured 114.521 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 102 pA, ," Measured 101.587 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 17, CUSTOM, A19 (DIB - SIGNAL), , 198 pA, ," Measured 197.714 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 188 pA, ," Measured 187.653 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 105 pA, ," Measured 105.411 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 99 pA, ," Measured 99.315 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 83 pA, ," Measured 83.430 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 144 pA, ," Measured 143.823 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 118 pA, ," Measured 117.612 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 24, CUSTOM, A39 (DIB - SIGNAL), , 115 pA, ," Measured 114.528 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 25, CUSTOM, A41 (DIB - SIGNAL), , 116 pA, ," Measured 116.087 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 26, CUSTOM, A47 (DIB - SIGNAL), , 131 pA, ," Measured 130.742 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 27, CUSTOM, A49 (DIB - SIGNAL), , 181 pA, ," Measured 181.451 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 28, CUSTOM, A51 (DIB - SIGNAL), , 152 pA, ," Measured 152.402 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 29, CUSTOM, A53 (DIB - SIGNAL), , 217 pA, ," Measured 217.052 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 30, CUSTOM, A58 (DIB - SIGNAL), , 131 pA, ," Measured 131.231 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 31, CUSTOM, A60 (DIB - SIGNAL), , 242 pA, ," Measured 242.040 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 32, CUSTOM, A62 (DIB - SIGNAL), , 338 pA, ," Measured 338.264 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 33, CUSTOM, A64 (DIB - SIGNAL), , 439 pA, ," Measured 439.222 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 34, CUSTOM, A69 (DIB - SIGNAL), , 672 pA, ," Measured 672.432 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 35, CUSTOM, A71 (DIB - SIGNAL), , 953 pA, ," Measured 953.051 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 36, CUSTOM, A73 (DIB - SIGNAL), , 1.163 nA, ," Measured  1.163 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 37, CUSTOM, A75 (DIB - SIGNAL), , 958 pA, ," Measured 958.058 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 38, CUSTOM, A80 (DIB - SIGNAL), , 717 pA, ," Measured 717.073 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 39, CUSTOM, A82 (DIB - SIGNAL), , 852 pA, ," Measured 852.198 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 40, CUSTOM, A84 (DIB - SIGNAL), , 957 pA, ," Measured 956.771 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 41, CUSTOM, A86 (DIB - SIGNAL), , 706 pA, ," Measured 706.292 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 42, CUSTOM, C2 (DIB - SIGNAL), , 217 pA, ," Measured 216.731 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 43, CUSTOM, C4 (DIB - SIGNAL), , 203 pA, ," Measured 202.552 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
