 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 017ABE4061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 2:25:50 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, A4 (DIB - SIGNAL), , , 2.170 nA, #105 Measured  2.170 nAmps >  2.000 nA high limit
 2, CUSTOM, A58 (DIB - SIGNAL), , , 2.013 nA, #105 Measured  2.013 nAmps >  2.000 nA high limit
 3, CUSTOM, C4 (DIB - SIGNAL), , , 2.501 nA, #105 Measured  2.501 nAmps >  2.000 nA high limit
 4, CUSTOM, C58 (DIB - SIGNAL), , , 2.334 nA, #105 Measured  2.334 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 91 mOhm, 500 mOhm, Measured 91 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 92 mOhm, 500 mOhm, Measured 92 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 131 mOhm, 500 mOhm, Measured 131 mOhm 
 8, CUSTOM, J100-29, J100-31, 373.883 mOhms, ," Measured 373.883 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 230 pA, ," Measured 230.394 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 131 pA, ," Measured 131.456 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 2.170 nA, ,  Measured  2.170 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 12, CUSTOM, A6 (DIB - SIGNAL), , 1.717 nA, ," Measured  1.717 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 993 pA, ," Measured 993.151 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 555 pA, ," Measured 555.344 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 492 pA, ," Measured 492.167 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 633 pA, ," Measured 632.852 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 17, CUSTOM, A19 (DIB - SIGNAL), , 606 pA, ," Measured 606.221 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 145 pA, ," Measured 144.838 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 334 pA, ," Measured 334.283 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 596 pA, ," Measured 596.153 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 492 pA, ," Measured 492.028 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 267 pA, ," Measured 266.702 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 206 pA, ," Measured 206.336 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 24, CUSTOM, A39 (DIB - SIGNAL), , 173 pA, ," Measured 172.965 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 25, CUSTOM, A41 (DIB - SIGNAL), , 155 pA, ," Measured 155.018 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 26, CUSTOM, A47 (DIB - SIGNAL), , 178 pA, ," Measured 177.559 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 27, CUSTOM, A49 (DIB - SIGNAL), , 127 pA, ," Measured 127.338 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 28, CUSTOM, A51 (DIB - SIGNAL), , 158 pA, ," Measured 158.269 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 29, CUSTOM, A53 (DIB - SIGNAL), , 708 pA, ," Measured 708.319 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 30, CUSTOM, A58 (DIB - SIGNAL), , 2.013 nA, ,  Measured  2.013 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 31, CUSTOM, A60 (DIB - SIGNAL), , 901 pA, ," Measured 901.267 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 32, CUSTOM, A62 (DIB - SIGNAL), , 1.518 nA, ," Measured  1.518 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 33, CUSTOM, A64 (DIB - SIGNAL), , 714 pA, ," Measured 714.178 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 34, CUSTOM, A69 (DIB - SIGNAL), , 793 pA, ," Measured 792.841 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
