 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 017ABED061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 2:31:16 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, A62 (DIB - SIGNAL), , , 2.318 nA, #105 Measured  2.318 nAmps >  2.000 nA high limit
 2, CUSTOM, A64 (DIB - SIGNAL), , , 2.272 nA, #105 Measured  2.272 nAmps >  2.000 nA high limit
 3, CUSTOM, A69 (DIB - SIGNAL), , , 2.961 nA, #105 Measured  2.961 nAmps >  2.000 nA high limit
 4, CUSTOM, A71 (DIB - SIGNAL), , , 2.125 nA, #105 Measured  2.125 nAmps >  2.000 nA high limit
 5, CUSTOM, C64 (DIB - SIGNAL), , , 2.188 nA, #105 Measured  2.188 nAmps >  2.000 nA high limit
 6, CUSTOM, C69 (DIB - SIGNAL), , , 2.796 nA, #105 Measured  2.796 nAmps >  2.000 nA high limit
 7, CUSTOM, C71 (DIB - SIGNAL), , , 2.867 nA, #105 Measured  2.867 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 160 mOhm, 500 mOhm, Measured 160 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 94 mOhm, 500 mOhm, Measured 94 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 92 mOhm, 500 mOhm, Measured 92 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 128 mOhm, 500 mOhm, Measured 128 mOhm 
 8, CUSTOM, J100-29, J100-31, 373.707 mOhms, ," Measured 373.707 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 460 pA, ," Measured 459.774 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 409 pA, ," Measured 408.707 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 937 pA, ," Measured 937.144 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 218 pA, ," Measured 218.018 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 151 pA, ," Measured 151.207 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 144 pA, ," Measured 143.712 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 150 pA, ," Measured 149.599 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 357 pA, ," Measured 357.277 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 17, CUSTOM, A19 (DIB - SIGNAL), , 195 pA, ," Measured 194.988 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 364 pA, ," Measured 363.702 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 229 pA, ," Measured 229.100 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 493 pA, ," Measured 492.857 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 191 pA, ," Measured 191.108 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 151 pA, ," Measured 151.487 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 127 pA, ," Measured 127.030 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 24, CUSTOM, A39 (DIB - SIGNAL), , 100 pA, ," Measured 99.770 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 25, CUSTOM, A41 (DIB - SIGNAL), , 97 pA, ," Measured 97.134 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 26, CUSTOM, A47 (DIB - SIGNAL), , 147 pA, ," Measured 146.508 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 27, CUSTOM, A49 (DIB - SIGNAL), , 185 pA, ," Measured 184.969 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 28, CUSTOM, A51 (DIB - SIGNAL), , 265 pA, ," Measured 264.582 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 29, CUSTOM, A53 (DIB - SIGNAL), , 802 pA, ," Measured 802.025 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 30, CUSTOM, A58 (DIB - SIGNAL), , 422 pA, ," Measured 422.039 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 31, CUSTOM, A60 (DIB - SIGNAL), , 1.208 nA, ," Measured  1.208 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 32, CUSTOM, A62 (DIB - SIGNAL), , 2.318 nA, ,  Measured  2.318 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 33, CUSTOM, A64 (DIB - SIGNAL), , 2.272 nA, ,  Measured  2.272 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 34, CUSTOM, A69 (DIB - SIGNAL), , 2.961 nA, ,  Measured  2.961 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 35, CUSTOM, A71 (DIB - SIGNAL), , 2.125 nA, ,  Measured  2.125 nAmps >  2.000 nA high limit (Keithley 2400.Hipot & Measure Current) [Failed: value suspect]
 36, CUSTOM, A73 (DIB - SIGNAL), , 1.791 nA, ," Measured  1.791 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 37, CUSTOM, A75 (DIB - SIGNAL), , 1.139 nA, ," Measured  1.139 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 38, CUSTOM, A80 (DIB - SIGNAL), , 599 pA, ," Measured 598.842 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 39, CUSTOM, A82 (DIB - SIGNAL), , 1.601 nA, ," Measured  1.601 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
