 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 017AC5F061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 6:12:16 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, A73 (DIB - SIGNAL), , , 2.477 nA, #105 Measured  2.477 nAmps >  2.000 nA high limit
 2, CUSTOM, C73 (DIB - SIGNAL), , , 2.771 nA, #105 Measured  2.771 nAmps >  2.000 nA high limit
 3, CUSTOM, E8 (DIB - SIGNAL), , , 2.808 nA, #105 Measured  2.808 nAmps >  2.000 nA high limit
 4, CUSTOM, E13 (DIB - SIGNAL), , , 2.471 nA, #105 Measured  2.471 nAmps >  2.000 nA high limit
 5, CUSTOM, E15 (DIB - SIGNAL), , , 4.080 nA, #105 Measured  4.080 nAmps >  2.000 nA high limit
 6, CUSTOM, E17 (DIB - SIGNAL), , , 2.789 nA, #105 Measured  2.789 nAmps >  2.000 nA high limit
 7, CUSTOM, G8 (DIB - SIGNAL), , , 2.803 nA, #105 Measured  2.803 nAmps >  2.000 nA high limit
 8, CUSTOM, G13 (DIB - SIGNAL), , , 2.451 nA, #105 Measured  2.451 nAmps >  2.000 nA high limit
 9, CUSTOM, G15 (DIB - SIGNAL), , , 3.888 nA, #105 Measured  3.888 nAmps >  2.000 nA high limit
 10, CUSTOM, G17 (DIB - SIGNAL), , , 3.444 nA, #105 Measured  3.444 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 94 mOhm, 500 mOhm, Measured 94 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 92 mOhm, 500 mOhm, Measured 92 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 96 mOhm, 500 mOhm, Measured 96 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 99 mOhm, 500 mOhm, Measured 99 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 206 mOhm, 500 mOhm, Measured 206 mOhm 
 8, CUSTOM, J100-29, J100-31, 373.389 mOhms, ," Measured 373.389 mOhms [0 Ohms, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 205 pA, ," Measured 205.122 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 86 pA, ," Measured 86.378 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 153 pA, ," Measured 152.802 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 128 pA, ," Measured 127.595 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 89 pA, ," Measured 89.042 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 71 pA, ," Measured 71.213 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 78 pA, ," Measured 78.142 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 87 pA, ," Measured 87.336 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 17, CUSTOM, A19 (DIB - SIGNAL), , 82 pA, ," Measured 82.344 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 86 pA, ," Measured 85.665 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 113 pA, ," Measured 113.325 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
