 Title:, Report generated using easywire version: 2020.2.0.7090

 S/N:, 017BE89061
 Final Test Result:, Failed
 Station ID:, flex
 Test Date:, 29/8/2025
 Test Time:, 12:06:45 AM
 Test Name:, 11796-0315-Leakage Rev A_MOD FOR FLEX
 Fixture Status:, Fixture failed verification on 31/1/2024 3:17:42 PM

 Title:, Revision Information

 Last Modified:, 30/1/2024 4:10:38 PM
 Revision:, 
 Modified By:, Test Engineer
 Comment:, 

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Instruction Detail
 1, CUSTOM, E2 (DIB - SIGNAL), , , 3.107 nA, #105 Measured  3.107 nAmps >  2.000 nA high limit
 2, CUSTOM, G2 (DIB - SIGNAL), , , 3.610 nA, #105 Measured  3.610 nAmps >  2.000 nA high limit

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, 4WIRE, A1 (DIB - GND), G1 (DIB - GND), 94 mOhm, 500 mOhm, Measured 94 mOhm 
 2, 4WIRE, A1 (DIB - GND), A42 (DIB - GND), 108 mOhm, 500 mOhm, Measured 108 mOhm 
 3, 4WIRE, A1 (DIB - GND), G42 (DIB - GND), 96 mOhm, 500 mOhm, Measured 96 mOhm 
 4, 4WIRE, A1 (DIB - GND), A46 (DIB - GND), 144 mOhm, 500 mOhm, Measured 144 mOhm 
 5, 4WIRE, A1 (DIB - GND), G46 (DIB - GND), 109 mOhm, 500 mOhm, Measured 109 mOhm 
 6, 4WIRE, A1 (DIB - GND), A87 (DIB - GND), 108 mOhm, 500 mOhm, Measured 108 mOhm 
 7, 4WIRE, A1 (DIB - GND), G87 (DIB - GND), 127 mOhm, 500 mOhm, Measured 127 mOhm 
 8, CUSTOM, J100-29, J100-31, 376.154 mOhms, ," Measured 376.154 mOhms [, 40.000 Ohms] (Keithley 2400.Attach 2 Wire)"
 9, CUSTOM, A2 (DIB - SIGNAL), , 880 pA, ," Measured 879.565 pAmps [, ] (Keithley 2400.Hipot & Measure Current)"
 10, CUSTOM, A2 (DIB - SIGNAL), , 734 pA, ," Measured 734.471 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 11, CUSTOM, A4 (DIB - SIGNAL), , 627 pA, ," Measured 627.200 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 12, CUSTOM, A6 (DIB - SIGNAL), , 571 pA, ," Measured 571.170 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 13, CUSTOM, A8 (DIB - SIGNAL), , 473 pA, ," Measured 472.779 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 14, CUSTOM, A13 (DIB - SIGNAL), , 566 pA, ," Measured 565.724 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 15, CUSTOM, A15 (DIB - SIGNAL), , 341 pA, ," Measured 341.017 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 16, CUSTOM, A17 (DIB - SIGNAL), , 420 pA, ," Measured 420.433 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 17, CUSTOM, A19 (DIB - SIGNAL), , 478 pA, ," Measured 478.134 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 18, CUSTOM, A24 (DIB - SIGNAL), , 296 pA, ," Measured 296.055 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 19, CUSTOM, A26 (DIB - SIGNAL), , 338 pA, ," Measured 337.633 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 20, CUSTOM, A28 (DIB - SIGNAL), , 299 pA, ," Measured 299.425 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 21, CUSTOM, A30 (DIB - SIGNAL), , 607 pA, ," Measured 607.037 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 22, CUSTOM, A35 (DIB - SIGNAL), , 797 pA, ," Measured 796.814 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 23, CUSTOM, A37 (DIB - SIGNAL), , 1.179 nA, ," Measured  1.179 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 24, CUSTOM, A39 (DIB - SIGNAL), , 462 pA, ," Measured 461.956 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 25, CUSTOM, A41 (DIB - SIGNAL), , 677 pA, ," Measured 676.980 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 26, CUSTOM, A47 (DIB - SIGNAL), , 787 pA, ," Measured 786.991 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 27, CUSTOM, A49 (DIB - SIGNAL), , 876 pA, ," Measured 876.097 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 28, CUSTOM, A51 (DIB - SIGNAL), , 798 pA, ," Measured 798.394 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 29, CUSTOM, A53 (DIB - SIGNAL), , 860 pA, ," Measured 860.324 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 30, CUSTOM, A58 (DIB - SIGNAL), , 934 pA, ," Measured 933.987 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 31, CUSTOM, A60 (DIB - SIGNAL), , 525 pA, ," Measured 524.761 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 32, CUSTOM, A62 (DIB - SIGNAL), , 202 pA, ," Measured 201.893 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 33, CUSTOM, A64 (DIB - SIGNAL), , 160 pA, ," Measured 160.385 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 34, CUSTOM, A69 (DIB - SIGNAL), , 156 pA, ," Measured 156.442 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 35, CUSTOM, A71 (DIB - SIGNAL), , 322 pA, ," Measured 322.259 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 36, CUSTOM, A73 (DIB - SIGNAL), , 461 pA, ," Measured 460.663 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 37, CUSTOM, A75 (DIB - SIGNAL), , 358 pA, ," Measured 358.097 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 38, CUSTOM, A80 (DIB - SIGNAL), , 1.252 nA, ," Measured  1.252 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 39, CUSTOM, A82 (DIB - SIGNAL), , 654 pA, ," Measured 654.068 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 40, CUSTOM, A84 (DIB - SIGNAL), , 1.073 nA, ," Measured  1.073 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 41, CUSTOM, A86 (DIB - SIGNAL), , 1.538 nA, ," Measured  1.538 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 42, CUSTOM, C2 (DIB - SIGNAL), , 1.202 nA, ," Measured  1.202 nAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 43, CUSTOM, C4 (DIB - SIGNAL), , 506 pA, ," Measured 506.184 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 44, CUSTOM, C6 (DIB - SIGNAL), , 609 pA, ," Measured 608.875 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 45, CUSTOM, C8 (DIB - SIGNAL), , 648 pA, ," Measured 647.985 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 46, CUSTOM, C13 (DIB - SIGNAL), , 408 pA, ," Measured 408.240 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
 47, CUSTOM, C15 (DIB - SIGNAL), , 413 pA, ," Measured 412.847 pAmps [,  2.000 nA] (Keithley 2400.Hipot & Measure Current)"
