Channel,Measured_pA,Expected_pA
A2,93.0,0
A2,33.0,0
A4,31.0,0
A6,31.0,0
A8,51.0,0
A13,41.0,0
A15,29.0,0
A17,44.0,0
A19,42.0,0
A24,32.0,0
A26,90.0,0
A28,72.0,0
A30,81.0,0
A35,84.0,0
A37,93.0,0
A39,78.0,0
A41,60.0,0
A47,70.0,0
A49,120.0,0
A51,100.0,0
A53,210.0,0
A58,195.0,0
A60,987.0,0
A62,155.0,0
A64,523.0,0
A69,118.0,0
A71,78.0,0
A73,73.0,0
A75,79.0,0
A80,387.0,0
A82,135.0,0
A84,81.0,0
A86,97.0,0
C2,85.0,0
C4,72.0,0
C6,100.0,0
C8,90.0,0
C13,87.0,0
C15,91.0,0
C17,75.0,0
C19,75.0,0
C24,70.0,0
C26,56.0,0
C28,77.0,0
C30,90.0,0
C35,87.0,0
C37,94.0,0
C39,86.0,0
C41,97.0,0
C47,85.0,0
C49,88.0,0
C51,272.0,0
C53,559.0,0
C58,117.0,0
C60,224.0,0
C62,115.0,0
C64,186.0,0
C69,77.0,0
C71,67.0,0
C73,226.0,0
C75,666.0,0
C80,165.0,0
C82,139.0,0
C84,110.0,0
C86,87.0,0
E2,60.0,0
E4,60.0,0
E6,83.0,0
E8,84.0,0
E13,74.0,0
E15,62.0,0
E17,91.0,0
E19,73.0,0
E24,80.0,0
E26,78.0,0
E28,65.0,0
E30,97.0,0
E35,73.0,0
E37,68.0,0
E39,74.0,0
E41,69.0,0
E47,75.0,0
E49,82.0,0
E51,74.0,0
E53,58.0,0
E58,91.0,0
E60,59.0,0
E62,77.0,0
E64,96.0,0
E69,82.0,0
E71,87.0,0
E73,77.0,0
E75,82.0,0
E80,172.0,0
E82,3763.0,0
E84,124.0,0
E86,218.0,0
G2,60.0,0
G4,64.0,0
G6,80.0,0
G8,172.0,0
G13,130.0,0
G15,115.0,0
G17,103.0,0
G19,96.0,0
G24,93.0,0
G26,95.0,0
G28,86.0,0
G30,91.0,0
G35,99.0,0
G37,89.0,0
G39,98.0,0
G41,98.0,0
G47,86.0,0
G49,59.0,0
G51,67.0,0
G53,79.0,0
G58,88.0,0
G60,91.0,0
G62,82.0,0
G64,74.0,0
G69,67.0,0
G71,79.0,0
G73,72.0,0
G75,84.0,0
G80,128.0,0
G82,347.0,0
G84,122.0,0
G86,1079.0,0
A44,75.0,0
B44,1399.0,0
F44,80.0,0
G44,83.0,0
