Channel,Measured_pA,Expected_pA
A2,134.0,0
A2,111.0,0
A4,107.0,0
A6,86.0,0
A8,98.0,0
A13,101.0,0
A15,105.0,0
A17,103.0,0
A19,106.0,0
A24,94.0,0
A26,77.0,0
A28,60.0,0
A30,72.0,0
A35,116.0,0
A37,64.0,0
A39,73.0,0
A41,81.0,0
A47,80.0,0
A49,87.0,0
A51,79.0,0
A53,100.0,0
A58,114.0,0
A60,131.0,0
A62,137.0,0
A64,123.0,0
A69,96.0,0
A71,90.0,0
A73,103.0,0
A75,77.0,0
A80,75.0,0
A82,75.0,0
A84,74.0,0
A86,72.0,0
C2,80.0,0
C4,83.0,0
C6,73.0,0
C8,78.0,0
C13,86.0,0
C15,89.0,0
C17,81.0,0
C19,72.0,0
C24,92.0,0
C26,71.0,0
C28,89.0,0
C30,85.0,0
C35,77.0,0
C37,77.0,0
C39,97.0,0
C41,80.0,0
C47,76.0,0
C49,63.0,0
C51,88.0,0
C53,92.0,0
C58,111.0,0
C60,143.0,0
C62,153.0,0
C64,136.0,0
C69,105.0,0
C71,98.0,0
C73,82.0,0
C75,73.0,0
C80,69.0,0
C82,85.0,0
C84,77.0,0
C86,74.0,0
E2,196.0,0
E4,245.0,0
E6,524.0,0
E8,974.0,0
E13,1407.0,0
E15,2375.0,0
E17,2880.0,0
E19,2114.0,0
E24,1154.0,0
E26,942.0,0
E28,235.0,0
E30,95.0,0
E35,112.0,0
E37,76.0,0
E39,116.0,0
E41,68.0,0
E47,70.0,0
E49,74.0,0
E51,66.0,0
E53,75.0,0
E58,76.0,0
E60,96.0,0
E62,86.0,0
E64,95.0,0
E69,79.0,0
E71,82.0,0
E73,67.0,0
E75,70.0,0
E80,82.0,0
E82,68.0,0
E84,60.0,0
E86,62.0,0
G2,209.0,0
G4,190.0,0
G6,354.0,0
G8,795.0,0
G13,1193.0,0
G15,2087.0,0
G17,2515.0,0
G19,2278.0,0
G24,1775.0,0
G26,1466.0,0
G28,405.0,0
G30,154.0,0
G35,102.0,0
G37,101.0,0
G39,115.0,0
G41,93.0,0
G47,76.0,0
G49,80.0,0
G51,71.0,0
G53,77.0,0
G58,75.0,0
G60,95.0,0
G62,81.0,0
G64,78.0,0
G69,88.0,0
G71,73.0,0
G73,62.0,0
G75,80.0,0
G80,66.0,0
G82,81.0,0
G84,58.0,0
G86,79.0,0
A44,51.0,0
B44,75.0,0
F44,82.0,0
G44,103.0,0
