Channel,Measured_pA,Expected_pA
A2,76.0,0
A2,52.0,0
A4,44.0,0
A6,57.0,0
A8,71.0,0
A13,55.0,0
A15,62.0,0
A17,59.0,0
A19,52.0,0
A24,67.0,0
A26,96.0,0
A28,85.0,0
A30,76.0,0
A35,74.0,0
A37,96.0,0
A39,83.0,0
A41,85.0,0
A47,76.0,0
A49,95.0,0
A51,73.0,0
A53,104.0,0
A58,97.0,0
A60,144.0,0
A62,238.0,0
A64,212.0,0
A69,221.0,0
A71,174.0,0
A73,139.0,0
A75,96.0,0
A80,120.0,0
A82,111.0,0
A84,130.0,0
A86,103.0,0
C2,94.0,0
C4,79.0,0
C6,102.0,0
C8,77.0,0
C13,95.0,0
C15,102.0,0
C17,74.0,0
C19,89.0,0
C24,88.0,0
C26,88.0,0
C28,77.0,0
C30,82.0,0
C35,89.0,0
C37,83.0,0
C39,90.0,0
C41,76.0,0
C47,91.0,0
C49,82.0,0
C51,81.0,0
C53,91.0,0
C58,102.0,0
C60,146.0,0
C62,230.0,0
C64,199.0,0
C69,254.0,0
C71,210.0,0
C73,158.0,0
C75,125.0,0
C80,109.0,0
C82,116.0,0
C84,91.0,0
C86,97.0,0
E2,7623.0,0
E4,61414.0,0
E6,18480.0,0
E8,9654.0,0
E13,15525.0,0
E15,9635.0,0
E17,6224.0,0
E19,4009.0000000000005,0
E24,785.0,0
E26,371.0,0
E28,108.0,0
E30,96.0,0
E35,72.0,0
E37,75.0,0
E39,84.0,0
E41,62.0,0
E47,76.0,0
E49,80.0,0
E51,79.0,0
E53,87.0,0
E58,81.0,0
E60,80.0,0
E62,64.0,0
E64,83.0,0
E69,76.0,0
E71,74.0,0
E73,90.0,0
E75,79.0,0
E80,89.0,0
E82,68.0,0
E84,74.0,0
E86,62.0,0
G2,4660.0,0
G4,32268.0,0
G6,48300.0,0
G8,13142.0,0
G13,12318.0,0
G15,14502.0,0
G17,5187.0,0
G19,6766.0,0
G24,1804.0,0
G26,699.0,0
G28,191.0,0
G30,101.0,0
G35,95.0,0
G37,103.0,0
G39,78.0,0
G41,83.0,0
G47,79.0,0
G49,73.0,0
G51,78.0,0
G53,67.0,0
G58,74.0,0
G60,80.0,0
G62,92.0,0
G64,83.0,0
G69,64.0,0
G71,85.0,0
G73,69.0,0
G75,83.0,0
G80,75.0,0
G82,190.0,0
G84,65.0,0
G86,76.0,0
A44,76.0,0
B44,104.0,0
F44,76.0,0
G44,83.0,0
