Channel,Measured_pA,Expected_pA
A2,92.0,0
A2,39.0,0
A4,287.0,0
A6,99.0,0
A8,187.0,0
A13,261.0,0
A15,245.0,0
A17,121.0,0
A19,74.0,0
A24,130.0,0
A26,163.0,0
A28,171.0,0
A30,137.0,0
A35,224.0,0
A37,374.0,0
A39,63.0,0
A41,86.0,0
A47,73.0,0
A49,122.0,0
A51,110.0,0
A53,93.0,0
A58,259.0,0
A60,113.0,0
A62,227.0,0
A64,268.0,0
A69,362.0,0
A71,421.0,0
A73,351.0,0
A75,223.0,0
A80,147.0,0
A82,147.0,0
A84,133.0,0
A86,159.0,0
C2,220.0,0
C4,163.0,0
C6,197.0,0
C8,203.0,0
C13,355.0,0
C15,208.0,0
C17,117.0,0
C19,149.0,0
C24,175.0,0
C26,243.0,0
C28,113.0,0
C30,155.0,0
C35,525.0,0
C37,117.0,0
C39,124.0,0
C41,96.0,0
C47,125.0,0
C49,129.0,0
C51,110.0,0
C53,88.0,0
C58,289.0,0
C60,153.0,0
C62,199.0,0
C64,349.0,0
C69,374.0,0
C71,447.0,0
C73,348.0,0
C75,320.0,0
C80,229.0,0
C82,195.0,0
C84,179.0,0
C86,167.0,0
E2,2686.0,0
E4,2966.0,0
E6,4099.0,0
E8,3131.0,0
E13,5511.0,0
E15,2252.0,0
E17,3271.0,0
E19,1697.0,0
E24,515.0,0
E26,334.0,0
E28,160.0,0
E30,111.0,0
E35,147.0,0
E37,107.0,0
E39,98.0,0
E41,108.0,0
E47,103.0,0
E49,98.0,0
E51,109.0,0
E53,116.0,0
E58,115.0,0
E60,137.0,0
E62,107.0,0
E64,100.0,0
E69,127.0,0
E71,136.0,0
E73,154.0,0
E75,147.0,0
E80,120.0,0
E82,231.0,0
E84,330.0,0
E86,155.0,0
G2,4733.0,0
G4,2585.0,0
G6,3853.0,0
G8,3457.0,0
G13,5216.0,0
G15,4499.0,0
G17,1855.0,0
G19,2600.0,0
G24,1105.0,0
G26,491.0,0
G28,217.0,0
G30,150.0,0
G35,127.0,0
G37,155.0,0
G39,124.0,0
G41,122.0,0
G47,90.0,0
G49,112.0,0
G51,108.0,0
G53,96.0,0
G58,117.0,0
G60,127.0,0
G62,119.0,0
G64,152.0,0
G69,124.0,0
G71,111.0,0
G73,118.0,0
G75,130.0,0
G80,111.0,0
G82,341.0,0
G84,297.0,0
G86,96.0,0
A44,100.0,0
B44,138.0,0
F44,108.0,0
G44,123.0,0
