Channel,Measured_pA,Expected_pA
F1,601.0,0
F1,688.0,0
F2,491.0,0
F3,574.0,0
F4,610.0,0
F5,563.0,0
F6,528.0,0
F7,583.0,0
F8,609.0,0
F9,567.0,0
F10,657.0,0
F11,669.0,0
F12,618.0,0
F13,602.0,0
F14,611.0,0
F15,618.0,0
F16,673.0,0
F17,547.0,0
F18,563.0,0
F19,566.0,0
F20,612.0,0
F21,567.0,0
F22,536.0,0
F23,584.0,0
F24,624.0,0
F25,732.0,0
F26,605.0,0
F27,688.0,0
F28,613.0,0
F29,664.0,0
F30,589.0,0
F31,634.0,0
F32,597.0,0
F33,1008.0,0
F34,579.0,0
F35,679.0,0
F36,689.0,0
F37,701.0,0
F38,652.0,0
F39,550.0,0
F40,647.0,0
F41,649.0,0
F42,551.0,0
F43,527.0,0
F44,544.0,0
F45,652.0,0
F46,512.0,0
F47,528.0,0
F48,498.0,0
F49,710.0,0
F50,688.0,0
F51,764.0,0
F52,793.0,0
F53,688.0,0
F54,842.0,0
F55,859.0,0
F56,912.0,0
F57,995.0,0
F58,1089.0,0
F59,1029.0,0
F60,1245.0,0
F61,1064.0,0
F62,1070.0,0
F63,774.0,0
F64,648.0,0
R1,589.0,0
R2,670.0,0
R3,650.0,0
R4,684.0,0
R5,638.0,0
R6,616.0,0
R7,632.0,0
R8,622.0,0
R9,583.0,0
R10,590.0,0
R11,656.0,0
R12,629.0,0
R13,665.0,0
R14,642.0,0
R15,637.0,0
R16,715.0,0
R17,585.0,0
R18,552.0,0
R19,524.0,0
R20,560.0,0
R21,590.0,0
R22,584.0,0
F63,531.0,0
R24,572.0,0
F69,751.0,0
F71,557.0,0
F74,603.0,0
F76,671.0,0
F80,730.0,0
F82,603.0,0
F85,617.0,0
F87,627.0,0
R33,667.0,0
R34,702.0,0
R35,778.0,0
R36,863.0,0
R37,793.0,0
R38,807.0,0
R39,831.0,0
R40,829.0,0
R41,878.0,0
R42,840.0,0
R43,837.0,0
R44,791.0,0
R45,904.0,0
R46,793.0,0
R47,766.0,0
R48,753.0,0
R49,1055.0,0
R50,963.0,0
R51,1006.9999999999999,0
R52,991.0,0
R53,1038.0,0
R54,1389.0,0
R55,933.0,0
R56,999.0,0
R57,875.0,0
R58,1361.0,0
R59,1245.0,0
R60,1411.0,0
R61,1197.0,0
R62,1085.0,0
R63,1056.0,0
R64,1121.0,0
FS1,344.0,0
FS2,348.0,0
FS3,361.0,0
FS4,367.0,0
FS5,399.0,0
FS6,382.0,0
FS7,370.0,0
FS8,342.0,0
FS9,283.0,0
FS10,361.0,0
FS11,321.0,0
FS12,327.0,0
FS13,330.0,0
FS14,330.0,0
FS15,299.0,0
FS16,305.0,0
FS17,352.0,0
FS18,319.0,0
FS19,314.0,0
FS20,324.0,0
FS21,329.0,0
FS22,315.0,0
FS23,316.0,0
FS24,335.0,0
FS25,346.0,0
FS26,336.0,0
FS27,346.0,0
FS28,374.0,0
FS29,357.0,0
FS30,338.0,0
FS31,317.0,0
FS32,453.0,0
FS33,375.0,0
FS34,376.0,0
FS35,359.0,0
FS36,419.0,0
FS37,427.0,0
FS38,365.0,0
FS39,398.0,0
FS40,360.0,0
FS41,449.0,0
FS42,392.0,0
FS43,342.0,0
FS44,447.0,0
FS45,333.0,0
FS46,408.0,0
FS47,410.0,0
FS48,345.0,0
FS49,401.0,0
FS50,456.0,0
FS51,451.0,0
FS52,493.0,0
FS53,390.0,0
FS54,444.0,0
FS55,385.0,0
FS56,378.0,0
FS57,412.0,0
FS58,392.0,0
FS59,408.0,0
FS60,369.0,0
FS61,372.0,0
FS62,396.0,0
FS63,450.0,0
FS64,393.0,0
RS1,419.0,0
RS2,440.0,0
RS3,469.0,0
RS4,436.0,0
RS5,508.0,0
RS6,492.0,0
RS7,504.0,0
RS8,468.0,0
RS9,501.0,0
RS10,467.0,0
RS11,482.0,0
RS12,440.0,0
RS13,439.0,0
RS14,440.0,0
RS15,380.0,0
RS16,368.0,0
RS17,418.0,0
RS18,437.0,0
RS19,390.0,0
RS20,454.0,0
RS21,405.0,0
RS22,449.0,0
RS23,402.0,0
RS24,466.0,0
RS25,430.0,0
RS26,429.0,0
RS27,423.0,0
RS28,459.0,0
RS29,450.0,0
RS30,410.0,0
RS31,383.0,0
RS32,491.0,0
RS33,428.0,0
RS34,472.0,0
RS35,441.0,0
RS36,549.0,0
RS37,560.0,0
RS38,446.0,0
RS39,502.0,0
RS40,393.0,0
RS41,467.0,0
RS42,520.0,0
RS43,542.0,0
RS44,562.0,0
RS45,499.0,0
RS46,494.0,0
RS47,443.0,0
RS48,381.0,0
RS49,446.0,0
RS50,483.0,0
RS51,477.0,0
RS52,470.0,0
RS53,470.0,0
RS54,393.0,0
RS55,472.0,0
RS56,493.0,0
RS57,459.0,0
RS58,426.0,0
RS59,610.0,0
RS60,505.0,0
RS61,516.0,0
RS62,604.0,0
RS63,396.0,0
RS64,430.0,0
